508,1103,1624,37,32,379,408,101,31,108,22,21,161,21,22,23,2523,1900,1866,3246,3114,2960,2746,3222,62,38,22,22,23,20,21,20,-7176,6420,-32750,132,-27932,-8461
837,1205,1636,75,28,288,399,101,28,98,24,21,111,21,21,22,2368,1944,1936,3216,3211,3083,2842,3282,58,66,21,21,22,20,20,20,-9602,16631,-32750,-1488,-23643,-7429
1257,1479,1743,479,48,414,741,135,29,131,31,21,127,21,21,24,2107,1820,1862,2872,3141,2984,2647,3246,72,83,23,39,23,20,20,20,-2559,9417,-17887,4978,-16046,-2583
1423,1533,1770,760,86,559,1036,194,28,222,32,20,129,21,20,25,1957,1760,1848,2674,3118,2897,2463,3194,73,78,23,46,23,20,20,20,-3180,7207,-18285,8321,-8982,-1510
1515,1529,1782,897,141,635,1148,275,28,295,44,20,105,20,20,24,1882,1721,1842,2557,3108,2833,2396,3142,80,86,23,48,22,19,19,20,-2047,6281,-17228,7963,-4193,-1109
1586,1509,1773,990,205,685,1203,347,32,334,69,20,84,20,20,24,1837,1708,1831,2505,3096,2807,2372,3084,88,112,28,46,23,19,19,20,-1560,5341,-17397,5357,-1741,-786
1611,1485,1747,1027,252,706,1223,384,30,359,92,20,91,22,20,24,1798,1686,1812,2464,3044,2769,2358,3045,99,136,43,57,24,26,20,20,-1284,4919,-16591,2159,-625,-561
1650,1469,1735,1065,286,762,1249,435,49,395,109,22,104,24,20,25,1713,1646,1788,2408,2972,2716,2328,2993,105,148,56,60,24,26,20,20,-1037,5080,-16074,240,-607,-236
1707,1473,1717,1123,320,835,1288,500,68,418,128,23,105,28,20,25,1600,1615,1760,2333,2829,2616,2267,2909,125,157,77,66,24,34,20,20,-1238,5263,-15959,-801,-931,-6
1822,1463,1677,1198,424,947,1369,575,81,470,164,24,125,33,20,28,1406,1550,1721,2230,2555,2486,2170,2789,141,168,108,70,26,33,20,21,-1065,5647,-15589,-1173,-1309,72
1969,1430,1635,1284,535,1068,1472,675,100,536,191,25,137,39,21,38,1160,1482,1685,2091,2250,2326,2047,2675,163,193,136,90,27,36,20,21,-889,5841,-15352,-625,-1603,-162
2095,1385,1559,1362,707,1161,1564,746,144,581,250,27,164,47,21,41,912,1430,1636,1964,1878,2189,1939,2570,191,248,196,111,29,48,20,22,-945,5617,-14985,500,-1694,-706
2169,1331,1480,1428,873,1243,1640,854,224,647,324,27,212,53,21,50,688,1346,1586,1841,1520,2059,1860,2435,257,333,272,144,33,80,21,23,-1351,5287,-15586,1222,-1478,-985
2156,1271,1401,1492,1041,1330,1700,989,348,700,382,29,203,54,21,59,508,1286,1527,1722,1291,1916,1790,2289,336,399,337,187,36,128,21,23,-1577,5085,-15678,1090,-1198,-913
2118,1225,1317,1561,1180,1440,1769,1156,494,758,456,32,231,54,22,56,376,1211,1464,1575,1055,1776,1714,2087,387,487,402,256,89,167,25,25,-1435,5045,-15593,615,-1005,-733
2047,1158,1231,1606,1247,1531,1827,1273,649,829,553,68,208,52,22,74,267,1122,1393,1410,869,1642,1622,1973,425,579,483,342,255,224,51,26,-1534,5211,-15460,368,-862,-715
1942,1092,1147,1633,1371,1615,1871,1413,774,872,633,152,211,57,23,87,187,1047,1330,1221,683,1516,1516,1824,536,700,569,457,387,287,123,27,-1539,5105,-15526,495,-768,-886
1831,1009,1061,1627,1552,1660,1903,1594,904,944,707,242,243,62,27,93,127,969,1269,993,486,1356,1386,1652,637,812,647,638,476,437,258,28,-1726,4952,-15378,488,-582,-1077
1723,917,956,1625,1675,1685,1910,1778,1005,1003,822,382,239,87,81,144,68,878,1182,708,320,1181,1207,1410,762,960,740,813,656,608,395,45,-1662,4776,-15541,248,-677,-1062
1566,793,788,1575,1635,1756,1856,1985,1102,1091,990,554,287,150,192,221,31,759,1052,416,122,934,949,1105,909,1132,875,1039,1094,770,638,92,-2010,4965,-15924,-202,-2045,-1239
1308,693,592,1450,1569,1754,1823,2125,1214,1186,1171,699,334,244,297,363,28,580,913,228,37,706,698,790,1100,1308,993,1256,1406,918,842,186,-2078,5202,-16061,-273,-3040,-1440
1151,567,441,1325,1529,1740,1750,2246,1290,1286,1352,808,360,374,464,475,26,456,777,87,26,446,451,476,1290,1506,1179,1469,1590,1087,1023,282,-2534,5289,-16312,-172,-4388,-1849
876,381,221,1100,1443,1707,1702,2283,1427,1424,1598,913,435,511,608,679,23,309,494,32,22,222,222,158,1427,1635,1292,1650,1693,1226,1176,378,-3381,5902,-16236,-92,-6141,-2711
